F1,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.18137,0.17742,0.20295,0.20077,0.21401,0.22323,0.22048,6.2399,1.2777,11.699,0.31604
0.19133,0.19063,0.20325,0.19899,0.21355,0.2266,0.21711,6.305,1.2614,11.709,0.31804
0.19352,0.18767,0.21876,0.2001,0.20998,0.23246,0.20803,6.419,1.2771,11.776,0.30407
0.18467,0.1917,0.20521,0.19944,0.21551,0.22602,0.20827,6.4737,1.2759,11.706,0.31425
0.18584,0.19389,0.22128,0.19657,0.20676,0.22015,0.21929,6.2257,1.2681,11.759,0.30991
0.1813,0.1786,0.20226,0.19738,0.21368,0.22298,0.2143,6.2501,1.2624,11.727,0.33168
0.17362,0.18113,0.20533,0.18188,0.20146,0.2172,0.21034,6.287,1.2701,11.676,0.31119
0.16542,0.17665,0.19932,0.18886,0.20487,0.22181,0.21987,6.2272,1.2746,12.02,0.32729
0.1662,0.16715,0.19645,0.19313,0.21424,0.21913,0.22209,6.265,1.3908,11.803,0.2898
,,,,,,,,,,
0.1800935,0.1802415,0.205466,0.196471,0.213216,0.2242605,0.2161845,6.288765,1.28527,11.7556,0.3107125
F6,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.13348,0.13236,0.14293,0.14138,0.15458,0.1379,0.14773,6.318,1.1873,11.072,0.27448
0.13851,0.13317,0.14945,0.12822,0.14366,0.13946,0.14689,6.2845,1.1966,11.021,0.25904
0.12034,0.1199,0.14849,0.11992,0.13922,0.13307,0.1404,6.2663,1.1832,10.96,0.27481
0.12793,0.12058,0.13863,0.11992,0.13633,0.13397,0.13868,6.235,1.1416,10.974,0.28855
0.12257,0.11893,0.13951,0.1209,0.15645,0.15279,0.15492,6.5452,1.1526,11.528,0.26814
0.116,0.11884,0.13594,0.11726,0.1336,0.12912,0.14252,6.355,1.1819,10.937,0.26853
0.12925,0.12705,0.15105,0.13082,0.14367,0.13609,0.14071,6.3483,1.2184,10.99,0.23889
0.11452,0.10903,0.12934,0.12574,0.14503,0.13307,0.1668,6.3417,1.1679,11.057,0.2726
0.11355,0.11754,0.13574,0.12086,0.13492,0.13036,0.1389,6.2051,1.1708,10.966,0.31257
